	STATION	DIVISION	DAILY COUNTS	DAILY EXITS	Division	Stop Name	Station ID	Complex ID	GTFS Stop ID	Line	Borough	Daytime Routes	Structure	GTFS Latitude	GTFS Longitude
142	BROADWAY	BMT	219679.0	137938.0	BMT	Broadway	4.0	4.0	R05	Astoria	Q	N W	Elevated	40.76182	-73.925508
143	ATL AV-BARCLAY	BMT	214831.0	247606.0	BMT	Atlantic Av - Barclays Ctr	27.0	617.0	R31	4th Av	Bk	D N R	Subway	40.683665999999995	-73.97881
144	161/YANKEE STAD	IRT	213801.0	112802.0	IRT	161 St - Yankee Stadium	389.0	604.0	414	Jerome Av	Bx	4	Elevated	40.827994	-73.925831
145	SPRING ST	IRT	213053.0	215856.0	IRT	Spring St	409.0	409.0	638	Lexington Av	M	6	Subway	40.722301	-73.997141
146	COURT SQ	IND	209898.0	201741.0	IND	Court Sq	274.0	606.0	F09	Queens Blvd	Q	E M	Subway	40.747846	-73.946
147	145 ST	IRT	209454.0	124711.0	IRT	145 St	304.0	304.0	114	Broadway - 7Av	M	1	Subway	40.826551	-73.95036
148	GUN HILL RD	IRT	207348.0	159138.0	IRT	Gun Hill Rd	421.0	421.0	208	Lenox - White Plains Rd	Bx	2 5	Elevated	40.87785	-73.866256
149	YORK ST	IND	206599.0	90787.0	IND	York St	235.0	235.0	F18	6th Av - Culver	Bk	F	Subway	40.701397	-73.986751
150	CANARSIE-ROCKAW	BMT	206456.0	50803.0	BMT	Canarsie - Rockaway Pkwy	138.0	138.0	L29	Canarsie	Bk	L	At Grade	40.646654	-73.90185
151	MYRTLE AV	BMT	205524.0	124617.0	BMT	Myrtle Av	97.0	97.0	M11	Jamaica	Bk	J M Z	Elevated	40.697207	-73.93565699999999
152	HIGH ST	IND	205522.0	225344.0	IND	High St	173.0	173.0	A40	8th Av - Fulton St	Bk	A C	Subway	40.699337	-73.990531
153	FORDHAM RD	IND	204045.0	104886.0	IND	Fordham Rd	213.0	213.0	D05	Concourse	Bx	B D	Subway	40.861296	-73.897749
154	149/GRAND CONC	IRT	202996.0	142205.0	IRT	149 St - Grand Concourse	390.0	603.0	415	Jerome Av	Bx	4	Subway	40.818375	-73.927351
155	111 ST	IRT	202592.0	93475.0	IRT	111 St	449.0	449.0	705	Flushing	Q	7	Elevated	40.75173	-73.855334
156	LORIMER ST	BMT	202312.0	90405.0	BMT	Lorimer St	99.0	99.0	M13	Jamaica	Bk	J M	Elevated	40.703869	-73.947408
157	CARROLL ST	IND	200507.0	89585.0	IND	Carroll St	237.0	237.0	F21	6th Av - Culver	Bk	F G	Subway	40.680303	-73.995048
158	CLINTON-WASH AV	IND	200136.0	106765.0	IND	Clinton - Washington Avs	177.0	177.0	A44	8th Av - Fulton St	Bk	C	Subway	40.683263000000004	-73.965838
159	QUEENS PLAZA	IND	198798.0	180088.0	IND	Queens Plaza	273.0	273.0	G21	Queens Blvd	Q	E M R	Subway	40.748973	-73.93724300000001
160	PELHAM PKWY	IRT	198668.0	102983.0	IRT	Pelham Pkwy	424.0	424.0	211	Lenox - White Plains Rd	Bx	2 5	Elevated	40.857192	-73.867615
161	PROSPECT PARK	BMT	198652.0	183789.0	BMT	Prospect Park	42.0	42.0	D26	Broadway - Brighton	Bk	B Q	Open Cut	40.661614	-73.962246
